Name,Ticker,Morningstar Sustainability Rating,Yield (%),Morningstar Category,Portfolio Sustainability Score,Portfolio Environmental Score,Portfolio Social Score,Portfolio Governance Score,Sustainable Investment by Prospectus,Sustainable Investment - ESG Fund,Sustainable Investment - Impact Fund,Sustainable Investment - Environmental Sector Fund,Animal Testing,% Alcohol,% Fossil Fuels,% Small Arms,% Thermal Coal,% Tobacco,YTD Return (%),1 Year Annualized (%),3 Years Annualized (%),5 Years Annualized (%),10 Years Annualized (%),Fund Size (Mil),Equity StyleBox,Fixed Income StyleBox,Average Market Cap (Mil),Average Credit Quality
American Beacon Ttfr Sust Sht Tm Bd R6,TFBRX,2,2.9,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,Yes,No,1,0,3.24,0,0,0,0.7,2.08,17.05,14.41,12.17,10.62,,Low Limited,"132,921.73",BB
American Beacon Ttfr Sust Sht Tm Bd Y,TFBYX,2,3.21,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,Yes,No,1,0,3.24,0,0,0,0.7,1.98,17.05,14.41,12.17,10.62,,Low Limited,"132,921.73",BB
American Beacon TwentyFour Strat Inc A,TFSAX,2,3.31,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0.13,2.47,0,0.66,0,1.97,6.84,6.53,14.41,12.17,257.59,,Low Limited,"132,921.73",BB
American Beacon TwentyFour Strat Inc C,TFGCX,2,2.5,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0.13,2.47,0,0.66,0,1.34,5.99,5.72,14.41,12.17,257.59,,Low Limited,"132,921.73",BB
American Beacon TwentyFour Strat Inc Inv,TFGPX,2,3.23,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0.13,2.47,0,0.66,0,1.9,6.76,6.51,14.41,12.17,257.59,,Low Limited,"132,921.73",BB
American Beacon TwentyFour Strat Inc R5,TFGIX,2,3.44,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0.13,2.47,0,0.66,0,2.26,7.24,6.9,14.41,12.17,257.59,,Low Limited,"132,921.73",BB
American Beacon TwentyFour Strat Inc Y,TFGYX,2,3.45,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0.13,2.47,0,0.66,0,2.27,7.16,6.85,14.41,12.17,257.59,,Low Limited,"132,921.73",BB
AMG Beutel Goodman Core Plus Bond I,ADLIX,2,2.82,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0.93,10.58,0,3.21,0,0.18,2.44,4.81,3.25,3.87,262.58,,Medium Moderate,"132,921.73",BBB
AMG Beutel Goodman Core Plus Bond N,ADBLX,2,2.56,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0.93,10.58,0,3.21,0,-0.02,2.19,4.58,2.99,3.62,262.58,,Medium Moderate,"132,921.73",BBB
AMG Beutel Goodman Core Plus Bond Z,ADZIX,2,2.88,US Fixed Income,20.88,4.82,9.3,6.76,Yes,Yes,No,No,0,0.93,10.58,0,3.21,0,0.24,2.51,4.89,3.33,3.91,262.58,,Medium Moderate,"132,921.73",BBB
AMG Boston Common Global Impact I,BRWIX,5,0,US Equity Large Cap Growth,20.07,4.31,7.47,6.06,Yes,Yes,Yes,No,0,0,1.66,0,1.67,0,16.29,36.7,20.9,19.41,13.93,940.87,Large Core,,"24,113.24",BBB
AMG GW&K Core Bond ESG N,MBGVX,4,1.13,US Fixed Income,22.05,2.17,11.38,6.6,Yes,Yes,No,No,0,0,0.53,0,0.62,0,-1.83,-0.27,5.31,2.69,2.95,194.16,,Medium Moderate,"24,113.24",A
Angel Oak Core Impact Ins,AOIIX,4,,US Fixed Income,22.05,2.17,11.38,6.6,Yes,Yes,Yes,No,0,0,2.79,0,0,0,-1.83,-0.27,5.31,2.69,2.95,39.78,,Low Limited,"24,113.24",BB
Ashmore Emerging Markets Corp Inc ESG A,ECAEX,4,,Emerging Markets Fixed Income,25.99,3.25,3.72,4.16,Yes,Yes,Yes,No,0,0,2.01,0,0,0,-1.83,-0.27,5.31,2.69,2.95,9.36,,,"24,113.24",BB
Ashmore Emerging Markets Corp Inc ESG C,ECCEX,4,,Emerging Markets Fixed Income,25.99,3.25,3.72,4.16,Yes,Yes,Yes,No,0,0,2.01,0,0,0,-1.83,-0.27,5.31,2.69,2.95,9.36,,,"24,113.24",BB
Ashmore Emerging Markets Corp Inc ESGIns,ECIEX,4,,Emerging Markets Fixed Income,25.99,3.25,3.72,4.16,Yes,Yes,Yes,No,0,0,2.01,0,0,0,-1.83,-0.27,5.31,2.69,2.95,9.36,,,"24,113.24",BB
Ashmore Emerging Markets Equity ESG A,ESAGX,4,0.58,Global Emerging Markets Equity,25.33,3.85,6.73,5.65,Yes,Yes,No,No,0,0,0,0,0,0,3.11,24.49,5.31,2.69,2.95,15.15,Large Growth,,"23,653.02",BB
Ashmore Emerging Markets Equity ESG C,ESCGX,4,0.56,Global Emerging Markets Equity,25.33,3.85,6.73,5.65,Yes,Yes,No,No,0,0,0,0,0,0,2.64,23.81,5.31,2.69,2.95,15.15,Large Growth,,"23,653.02",BB
Ashmore Emerging Markets Equity ESG Ins,ESIGX,4,0.59,Global Emerging Markets Equity,25.33,3.85,6.73,5.65,Yes,Yes,No,No,0,0,0,0,0,0,3.31,24.82,5.31,2.69,2.95,15.15,Large Growth,,"23,653.02",BB
Aspiration Redwood,REDWX,5,0,US Equity Large Cap Blend,19.25,2.75,8.94,6.41,Yes,Yes,No,No,0,0,0,0,0,0,20.8,42.16,20.81,18.39,2.95,157.41,Large Core,,"51,892.27",BB
AXS Sustainable Income I,AXSKX,5,4.46,US Fixed Income,19.25,2.75,8.94,6.41,Yes,Yes,No,No,0,0,0,0,0,0,4.53,8.54,4.46,4.08,2.95,52.98,,Low Limited,"51,892.27",B
Baillie Gifford Global Stwdsp Eqs Instl,BGSSX,2,0,Global Equity Large Cap,22.08,2.87,8.48,6.98,Yes,Yes,Yes,No,0,0,0,0,0,0,8.24,28.71,31.63,4.08,2.95,6.89,Large Growth,,"46,984.50",B
Baillie Gifford Global Stwdsp Eqs K,BGSKX,2,0,Global Equity Large Cap,22.08,2.87,8.48,6.98,Yes,Yes,Yes,No,0,0,0,0,0,0,8.24,28.71,31.63,4.08,2.95,6.89,Large Growth,,"46,984.50",B
Baywood Socially Responsible Instl,BVSIX,5,0.92,US Equity Large Cap Value,20.79,3.87,8.32,6.74,Yes,Yes,No,No,0,0,12.8,0,0,0,23.79,50.87,14.2,12.46,10.28,7.23,Large Value,,"44,328.12",B
BBH Select Series - Mid Cap I,BBMIX,4,,US Equity Mid Cap,21.72,4.59,8.24,6.29,Yes,Yes,No,No,0,0,0,0,0,0,23.79,50.87,14.2,12.46,10.28,14.58,Mid Growth,,"13,274.53",B
BlackRock Advantage ESG Em Mkts Eq Ins,BLZIX,4,0.97,Global Emerging Markets Equity,23.93,5.01,8.99,8.55,Yes,Yes,Yes,No,0,0.31,5.17,0,0.27,0,-1.48,14.91,14.2,12.46,10.28,11.87,Large Core,,"41,160.21",B
BlackRock Advantage ESG Em Mkts Eq Inv A,BLZAX,4,0.8,Global Emerging Markets Equity,23.93,5.01,8.99,8.55,Yes,Yes,Yes,No,0,0.31,5.17,0,0.27,0,-1.58,14.72,14.2,12.46,10.28,11.87,Large Core,,"41,160.21",B
BlackRock Advantage ESG Em Mkts Eq K,BLZKX,4,1,Global Emerging Markets Equity,23.93,5.01,8.99,8.55,Yes,Yes,Yes,No,0,0.31,5.17,0,0.27,0,-1.38,15.06,14.2,12.46,10.28,11.87,Large Core,,"41,160.21",B
BlackRock Advantage ESG Intl Eq Ins,BRZIX,3,1.47,Global Equity Large Cap,20.73,4.49,8.61,7.43,Yes,Yes,Yes,No,0,3.64,6.26,0.2,0.14,0,12.02,34.57,14.2,12.46,10.28,12.91,Large Core,,"43,042.30",B
BlackRock Advantage ESG Intl Eq Inv A,BRZAX,3,1.32,Global Equity Large Cap,20.73,4.49,8.61,7.43,Yes,Yes,Yes,No,0,3.64,6.26,0.2,0.14,0,11.75,34.28,14.2,12.46,10.28,12.91,Large Core,,"43,042.30",B
BlackRock Advantage ESG Intl Eq K,BRZKX,3,1.49,Global Equity Large Cap,20.73,4.49,8.61,7.43,Yes,Yes,Yes,No,0,3.64,6.26,0.2,0.14,0,12.04,34.61,14.2,12.46,10.28,12.91,Large Core,,"43,042.30",B
BlackRock Advantage ESG US Eq Cl K,BIRKX,5,0.64,US Equity Large Cap Blend,19.62,3.05,9.16,7.06,Yes,Yes,Yes,No,0,0,4.82,0,0,0,24.57,46.16,22.7,19.9,10.28,625.45,Large Core,,"111,652.95",B
BlackRock Advantage ESG US Eq Instl Shrs,BIRIX,5,0.6,US Equity Large Cap Blend,19.62,3.05,9.16,7.06,Yes,Yes,Yes,No,0,0,4.82,0,0,0,24.57,46.14,22.66,19.85,10.28,625.45,Large Core,,"111,652.95",B
BlackRock Advantage ESG US Eq Inv A Shrs,BIRAX,5,0.46,US Equity Large Cap Blend,19.62,3.05,9.16,7.06,Yes,Yes,Yes,No,0,0,4.82,0,0,0,24.28,45.72,22.35,19.54,10.28,625.45,Large Core,,"111,652.95",B
BlackRock Advantage ESG US Eq Inv C Shrs,BIRCX,5,0.02,US Equity Large Cap Blend,19.62,3.05,9.16,7.06,Yes,Yes,Yes,No,0,0,4.82,0,0,0,23.51,44.72,21.46,18.68,10.28,625.45,Large Core,,"111,652.95",B
BlackRock LifePath ESG Index 2025 Instl,LEBIX,5,1.41,Target Date,21.33,3.5,8.99,6.59,Yes,Yes,No,No,0,1.03,5.01,0.38,0.07,0.07,8.6,19.36,21.46,18.68,10.28,2.92,Large Core,Medium Moderate,"53,926.48",A
BlackRock LifePath ESG Index 2025 Inv A,LELAX,5,1.26,Target Date,21.33,3.5,8.99,6.59,Yes,Yes,No,No,0,1.03,5.01,0.38,0.07,0.07,8.35,19.19,21.46,18.68,10.28,2.92,Large Core,Medium Moderate,"53,926.48",A
BlackRock LifePath ESG Index 2025 K,LEBKX,5,1.46,Target Date,21.33,3.5,8.99,6.59,Yes,Yes,No,No,0,1.03,5.01,0.38,0.07,0.07,8.65,19.42,21.46,18.68,10.28,2.92,Large Core,Medium Moderate,"53,926.48",A
BlackRock LifePath ESG Index 2030 Instl,LENIX,5,1.4,Target Date,21.3,3.62,8.83,6.67,Yes,Yes,No,No,0,1.03,5.43,0.42,0.1,0.09,11.02,24.34,21.46,18.68,10.28,3.69,Large Core,Medium Moderate,"54,670.50",A
BlackRock LifePath ESG Index 2030 Inv A,LENAX,5,1.25,Target Date,21.3,3.62,8.83,6.67,Yes,Yes,No,No,0,1.03,5.43,0.42,0.1,0.09,10.74,24.17,21.46,18.68,10.28,3.69,Large Core,Medium Moderate,"54,670.50",A
BlackRock LifePath ESG Index 2030 K,LENKX,5,1.45,Target Date,21.3,3.62,8.83,6.67,Yes,Yes,No,No,0,1.03,5.43,0.42,0.1,0.09,11.06,24.4,21.46,18.68,10.28,3.69,Large Core,Medium Moderate,"54,670.50",A
BlackRock LifePath ESG Index 2035 Instl,LEJIX,5,1.58,Target Date,21.26,3.72,8.72,6.74,Yes,Yes,No,No,0,1.04,5.88,0.46,0.13,0.11,13.53,29.53,21.46,18.68,10.28,2.57,Large Core,Medium Moderate,"56,072.00",A
BlackRock LifePath ESG Index 2035 Inv A,LEJAX,5,1.37,Target Date,21.26,3.72,8.72,6.74,Yes,Yes,No,No,0,1.04,5.88,0.46,0.13,0.11,13.34,29.24,21.46,18.68,10.28,2.57,Large Core,Medium Moderate,"56,072.00",A
BlackRock LifePath ESG Index 2035 K,LEJKX,5,1.63,Target Date,21.26,3.72,8.72,6.74,Yes,Yes,No,No,0,1.04,5.88,0.46,0.13,0.11,13.57,29.59,21.46,18.68,10.28,2.57,Large Core,Medium Moderate,"56,072.00",A
BlackRock LifePath ESG Index 2040 Instl,LEKIX,5,1.56,Target Date,21.24,3.79,8.64,6.8,Yes,Yes,No,No,0,1.05,6.29,0.49,0.15,0.14,15.74,34.16,21.46,18.68,10.28,2.81,Large Core,Medium Moderate,"57,110.19",A
BlackRock LifePath ESG Index 2040 Inv A,LEKAX,5,1.33,Target Date,21.24,3.79,8.64,6.8,Yes,Yes,No,No,0,1.05,6.29,0.49,0.15,0.14,15.51,33.83,21.46,18.68,10.28,2.81,Large Core,Medium Moderate,"57,110.19",A
BlackRock LifePath ESG Index 2040 K,LEKKX,5,1.59,Target Date,21.24,3.79,8.64,6.8,Yes,Yes,No,No,0,1.05,6.29,0.49,0.15,0.14,15.76,34.2,21.46,18.68,10.28,2.81,Large Core,Medium Moderate,"57,110.19",A
BlackRock LifePath ESG Index 2045 Instl,LEHIX,5,1.55,Target Date,21.22,3.85,8.59,6.84,Yes,Yes,No,No,0,1.06,6.69,0.52,0.18,0.16,17.63,38.08,21.46,18.68,10.28,3.07,Large Core,High Moderate,"57,754.10",AA
BlackRock LifePath ESG Index 2045 Inv A,LEHAX,5,1.39,Target Date,21.22,3.85,8.59,6.84,Yes,Yes,No,No,0,1.06,6.69,0.52,0.18,0.16,17.4,37.74,21.46,18.68,10.28,3.07,Large Core,High Moderate,"57,754.10",AA
BlackRock LifePath ESG Index 2045 K,LEHKX,5,1.6,Target Date,21.22,3.85,8.59,6.84,Yes,Yes,No,No,0,1.06,6.69,0.52,0.18,0.16,17.67,38.15,21.46,18.68,10.28,3.07,Large Core,High Moderate,"57,754.10",AA
BlackRock LifePath ESG Index 2050 Instl,LEGIX,5,1.53,Target Date,21.22,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,6.94,0.54,0.19,0.17,18.51,39.9,21.46,18.68,10.28,2.77,Large Core,High Moderate,"58,123.26",AA
BlackRock LifePath ESG Index 2050 Inv A,LEBAX,5,1.33,Target Date,21.22,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,6.94,0.54,0.19,0.17,18.23,39.49,21.46,18.68,10.28,2.77,Large Core,High Moderate,"58,123.26",AA
BlackRock LifePath ESG Index 2050 K,LEPKX,5,1.58,Target Date,21.22,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,6.94,0.54,0.19,0.17,18.55,39.96,21.46,18.68,10.28,2.77,Large Core,High Moderate,"58,123.26",AA
BlackRock LifePath ESG Index 2055 Instl,LEEIX,5,1.54,Target Date,21.21,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,7,0.55,0.2,0.17,18.68,40.22,21.46,18.68,10.28,2.71,Large Core,Medium Moderate,"58,239.55",A
BlackRock LifePath ESG Index 2055 Inv A,LEVAX,5,1.33,Target Date,21.21,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,7,0.55,0.2,0.17,18.48,40.05,21.46,18.68,10.28,2.71,Large Core,Medium Moderate,"58,239.55",A
BlackRock LifePath ESG Index 2055 K,LEVKX,5,1.58,Target Date,21.21,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,7,0.55,0.2,0.17,18.73,40.29,21.46,18.68,10.28,2.71,Large Core,Medium Moderate,"58,239.55",A
BlackRock LifePath ESG Index 2060 Instl,LEZIX,5,1.55,Target Date,21.22,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,6.94,0.55,0.2,0.17,18.69,40.24,21.46,18.68,10.28,2.99,Large Core,Medium Moderate,"58,217.96",A
BlackRock LifePath ESG Index 2060 Inv A,LEZAX,5,1.38,Target Date,21.22,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,6.94,0.55,0.2,0.17,18.45,40.02,21.46,18.68,10.28,2.99,Large Core,Medium Moderate,"58,217.96",A
BlackRock LifePath ESG Index 2060 K,LEZKX,5,1.59,Target Date,21.22,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,6.94,0.55,0.2,0.17,18.73,40.3,21.46,18.68,10.28,2.99,Large Core,Medium Moderate,"58,217.96",A
BlackRock LifePath ESG Index 2065 Instl,LEWIX,5,1.55,Target Date,21.21,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,7.01,0.55,0.2,0.17,18.69,40.24,21.46,18.68,10.28,2.72,Large Core,Medium Moderate,"58,223.75",A
BlackRock LifePath ESG Index 2065 Inv A,LEWAX,5,1.33,Target Date,21.21,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,7.01,0.55,0.2,0.17,18.39,39.95,21.46,18.68,10.28,2.72,Large Core,Medium Moderate,"58,223.75",A
BlackRock LifePath ESG Index 2065 K,LEWKX,5,1.59,Target Date,21.21,3.88,8.57,6.86,Yes,Yes,No,No,0,1.08,7.01,0.55,0.2,0.17,18.73,40.31,21.46,18.68,10.28,2.72,Large Core,Medium Moderate,"58,223.75",A
BlackRock LifePath ESG Index Ret Instl,LERIX,5,1.52,Target Date,21.24,3.38,9.11,6.51,Yes,Yes,No,No,0,1.06,4.64,0.36,0.05,0.04,6.68,15.3,21.46,18.68,10.28,2.25,Large Core,Medium Moderate,"52,760.80",A
BlackRock LifePath ESG Index Ret Inv A,LERAX,5,1.29,Target Date,21.24,3.38,9.11,6.51,Yes,Yes,No,No,0,1.06,4.64,0.36,0.05,0.04,6.49,15.02,21.46,18.68,10.28,2.25,Large Core,Medium Moderate,"52,760.80",A
BlackRock LifePath ESG Index Ret K,LERKX,5,1.57,Target Date,21.24,3.38,9.11,6.51,Yes,Yes,No,No,0,1.06,4.64,0.36,0.05,0.04,6.71,15.35,21.46,18.68,10.28,2.25,Large Core,Medium Moderate,"52,760.80",A
BlackRock Sust Advtg CoreAlpha Bd Inv C,BIACX,4,0.68,US Fixed Income,21.51,2.91,9.83,6.85,Yes,Yes,Yes,No,0,1.66,3.21,0,0,0,-3.21,-1.88,4.81,2.17,10.28,71.13,,Medium Moderate,"52,760.80",A
BlackRock Sust Emerg Mkts Flex Bd Cl K,BREDX,2,4.12,Emerging Markets Fixed Income,30.61,9.26,9.92,10.48,Yes,Yes,No,No,0,0,4.52,0,0.26,0.06,-6.25,0.15,4.82,2.36,3.4,37.23,Large Value,Low Limited,"19,810.14",B
BlackRock Sust Emerg Mkts Flex Bd Instl,BEDIX,2,4.08,Emerging Markets Fixed Income,30.61,9.26,9.92,10.48,Yes,Yes,No,No,0,0,4.52,0,0.26,0.06,-6.4,-0.13,4.72,2.31,3.32,37.23,Large Value,Low Limited,"19,810.14",B
BlackRock Sust Emerg Mkts Flex Bd Inv C,BCEDX,2,3.03,Emerging Markets Fixed Income,30.61,9.26,9.92,10.48,Yes,Yes,No,No,0,0,4.52,0,0.26,0.06,-7.08,-0.89,3.72,1.32,2.28,37.23,Large Value,Low Limited,"19,810.14",B
BlackRock Sustainable Em Mkts Eq Ins,MAPCX,2,0.84,Asia ex-Japan Equity,25.57,5.69,9.92,8.95,Yes,Yes,No,No,0,0,9.15,0,0,0,0.02,16.63,14.79,9.08,8.16,142.96,Large Core,,"63,735.46",B
BlackRock Sustainable Em Mkts Eq Inv A,MDPCX,2,0.62,Asia ex-Japan Equity,25.57,5.69,9.92,8.95,Yes,Yes,No,No,0,0,9.15,0,0,0,-0.12,16.37,14.5,8.82,7.91,142.96,Large Core,,"63,735.46",B
BlackRock Sustainable Em Mkts Eq K,MPCKX,2,0.83,Asia ex-Japan Equity,25.57,5.69,9.92,8.95,Yes,Yes,No,No,0,0,9.15,0,0,0,0.08,16.63,14.81,9.11,8.17,142.96,Large Core,,"63,735.46",B
BlackRock Sustainable Em Mkts Eq R,MRPCX,2,0.56,Asia ex-Japan Equity,25.57,5.69,9.92,8.95,Yes,Yes,No,No,0,0,9.15,0,0,0,-0.5,15.86,14.01,8.36,7.41,142.96,Large Core,,"63,735.46",B
BlackRock Sustainable Emerg Mkts Bd Ins,BEHIX,2,4.45,Emerging Markets Fixed Income,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.38,5.83,6.41,8.36,7.41,23.23,,,"63,735.46",B
BlackRock Sustainable Emerg Mkts Bd K,BEHKX,2,4.54,Emerging Markets Fixed Income,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,23.23,,,"63,735.46",B
BlackRock Sustainable High Yld Bd Ins,BSIHX,2,,US Fixed Income,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,49.47,,,"63,735.46",B
BlackRock Sustainable High Yld Bd Inv A,BSHAX,2,,US Fixed Income,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,49.47,,,"63,735.46",B
BlackRock Sustainable High Yld Bd K,BSHKX,2,,US Fixed Income,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,49.47,,,"63,735.46",B
BlackRock Sustainable Intntl Eq Ins,BSUIX,2,,Global Equity Large Cap,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,5.25,,,"63,735.46",B
BlackRock Sustainable Intntl Eq Inv A,BSIAX,2,,Global Equity Large Cap,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,5.25,,,"63,735.46",B
BlackRock Sustainable Intntl Eq K,BKSIX,2,,Global Equity Large Cap,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,5.25,,,"63,735.46",B
BlackRock Sustainable Low Drtn Bd Instl,BSLIX,2,,US Fixed Income,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,49.9,,,"63,735.46",B
BlackRock Sustainable Low Drtn Bd Inv A,BASLX,2,,US Fixed Income,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,49.9,,,"63,735.46",B
BlackRock Sustainable Low Drtn Bd K,BSLKX,2,,US Fixed Income,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,49.9,,,"63,735.46",B
BlackRock Sustainable Total Return Instl,BISTX,2,,US Fixed Income,34.23,7.72,7.21,4.66,Yes,Yes,Yes,No,0,0,5.2,0,0,0,-1.31,5.92,6.5,8.36,7.41,49.75,,,"63,735.46",B
